"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version","id_service_ads"
"4429","9004022","DFCC","SVQ Pôle Prévention et Médiation Sociale","2015-03-13T14:09:03.508","2","NULL"
"4430","9005236","DFCC","SVQ Pôle Prévention et Médiation Sociale","2015-03-13T14:09:03.508","2","NULL"
"4431","9005284","DFCC","SVQ Pôle Prévention et Médiation Sociale","2015-03-13T14:09:03.508","2","NULL"
"4432","9005053","DFCC","SVQ Pôle Prévention et Médiation Sociale","2015-03-13T14:09:03.508","2","NULL"
"4433","9005283","DFCC","SVQ Pôle Prévention et Médiation Sociale","2015-03-13T14:09:03.508","2","NULL"
"4434","9005542","DFCC","SVQ Pôle Prévention et Médiation Sociale","2015-03-13T14:09:03.508","2","NULL"
"4435","9005031","DFCC","SVQ Pôle Prévention et Médiation Sociale","2015-03-13T14:09:03.508","2","NULL"
"4436","9005289","DFCC","SVQ Pôle Prévention et Médiation Sociale","2015-03-13T14:09:03.508","2","NULL"
"5004","9002922","DBBC","DF SEB Section des Recettes","2015-03-30T14:47:09.322","10","NULL"
"5005","9003260","DBBB","DF SEB Section des Dépenses","2015-03-30T14:47:09.383","10","NULL"
"5006","9004406","DBBB","DF SEB Section des Dépenses","2015-03-30T14:47:09.448","10","NULL"
"5007","9002334","DBBB","DF SEB Section des Dépenses","2015-03-30T14:47:09.511","10","NULL"
"5331","9004274","DGAB","DAEDU Pôle Administratif et Budgétaire","2015-06-05T09:57:55.253","3","NULL"
"5008","9004534","DBBB","DF SEB Section des Dépenses","2015-03-30T14:47:09.585","10","NULL"
"4473","9003503","DFCL","SVQ Pôle Vie de la Cité - Insertion et logistique","2015-03-13T14:09:03.509","2","NULL"
"4474","9005378","DFCL","SVQ Pôle Vie de la Cité - Insertion et logistique","2015-03-13T14:09:03.509","2","NULL"
"4475","9004436","DFCL","SVQ Pôle Vie de la Cité - Insertion et logistique","2015-03-13T14:09:03.509","2","NULL"
"5240","9004365","DABB","SMP Section Secrétariat des Elus","2015-06-03T14:39:23.896","2","NULL"
"3751","9002726","DADA","Cellule du Conseil Municipal","2015-03-13T14:09:03.488","2","NULL"
"3961","9003532","DDAB","DRH Pôle Administratif et Budgétaire","2015-03-13T14:09:03.494","5","NULL"
"3962","9002910","DDAB","DRH Pôle Administratif et Budgétaire","2015-03-13T14:09:03.494","5","NULL"
"3752","9003762","DADA","Cellule du Conseil Municipal","2015-03-13T14:09:03.488","2","NULL"
"3753","9005266","DADA","Cellule du Conseil Municipal","2015-03-13T14:09:03.488","2","NULL"
"4782","9005260","EBEE","DETVEA Subdivision Travaux Eau et Assainissement","2015-03-13T14:09:03.518","7","NULL"
"4783","9005555","EBEE","DETVEA Subdivision Travaux Eau et Assainissement","2015-03-13T14:09:03.518","7","NULL"
"4589","9004235","DFEG","SMS Equipes des Ateliers","2015-03-13T14:09:03.512","6","NULL"
