"id_pointage","id_agent","id_type_pointage","date_lundi","date_debut","date_fin","quantite","id_pointage_parent","id_ref_prime","is_hsup_recuperee","id_comment_motif","id_comment_commentaire","version","id_ref_type_absence","is_hsup_rappel_service","id_motif_hsup"
"6270","9003146","2","2015-07-13T00:00:00.000","2015-07-18T23:00:00.000","2015-07-19T04:00:00.000","NULL","NULL","NULL","true","NULL","1711","1","NULL","false","20"
"6269","9003146","2","2015-07-13T00:00:00.000","2015-07-18T04:00:00.000","2015-07-18T07:00:00.000","NULL","NULL","NULL","true","NULL","1710","1","NULL","false","20"
"7600","9004979","2","2015-07-13T00:00:00.000","2015-07-19T05:15:00.000","2015-07-19T08:45:00.000","NULL","NULL","NULL","true","NULL","2155","1","NULL","false","20"
"7599","9004979","2","2015-07-13T00:00:00.000","2015-07-18T04:15:00.000","2015-07-18T05:15:00.000","NULL","NULL","NULL","true","NULL","2154","1","NULL","false","20"
"7598","9004979","2","2015-07-13T00:00:00.000","2015-07-18T20:45:00.000","2015-07-19T04:00:00.000","NULL","NULL","NULL","true","NULL","2153","1","NULL","false","20"
"7253","9003162","3","2015-07-20T00:00:00.000","2015-07-26T13:00:00.000","2015-07-26T21:00:00.000","NULL","NULL","9","NULL","NULL","1895","1","NULL","NULL","NULL"
"7231","9003975","3","2015-07-20T00:00:00.000","2015-07-26T21:00:00.000","2015-07-27T05:00:00.000","NULL","NULL","9","NULL","NULL","1877","1","NULL","NULL","NULL"
"7499","9004239","3","2015-06-22T00:00:00.000","2015-06-22T00:00:00.000","NULL","480","NULL","24","NULL","NULL","NULL","1","NULL","NULL","NULL"
"7583","9003719","2","2015-07-06T00:00:00.000","2015-07-11T04:15:00.000","2015-07-11T05:15:00.000","NULL","NULL","NULL","true","NULL","2138","1","NULL","false","20"
"7581","9003719","2","2015-07-06T00:00:00.000","2015-07-10T20:45:00.000","2015-07-11T04:00:00.000","NULL","NULL","NULL","true","NULL","2136","1","NULL","false","20"
"7582","9003719","3","2015-07-06T00:00:00.000","2015-07-10T21:00:00.000","2015-07-11T05:00:00.000","NULL","NULL","9","NULL","NULL","2137","1","NULL","NULL","NULL"
"7580","9003719","3","2015-07-06T00:00:00.000","2015-07-09T21:00:00.000","2015-07-10T05:00:00.000","NULL","NULL","9","NULL","NULL","2135","1","NULL","NULL","NULL"
"7579","9003719","3","2015-07-06T00:00:00.000","2015-07-08T05:00:00.000","2015-07-08T13:00:00.000","NULL","NULL","9","NULL","NULL","2134","1","NULL","NULL","NULL"
"7589","9003719","3","2015-07-13T00:00:00.000","2015-07-14T21:00:00.000","2015-07-15T05:00:00.000","NULL","NULL","9","NULL","NULL","2144","1","NULL","NULL","NULL"
"7588","9003719","3","2015-07-13T00:00:00.000","2015-07-13T05:00:00.000","2015-07-13T13:00:00.000","NULL","NULL","9","NULL","NULL","2143","1","NULL","NULL","NULL"
"7503","9003982","3","2015-06-29T00:00:00.000","2015-06-29T00:00:00.000","NULL","480","NULL","24","NULL","NULL","NULL","1","NULL","NULL","NULL"
"7501","9002939","3","2015-06-15T00:00:00.000","2015-06-15T00:00:00.000","NULL","480","NULL","24","NULL","NULL","NULL","1","NULL","NULL","NULL"
"7502","9002939","3","2015-06-22T00:00:00.000","2015-06-22T00:00:00.000","NULL","480","NULL","24","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6258","9004799","2","2015-07-13T00:00:00.000","2015-07-18T23:00:00.000","2015-07-19T04:00:00.000","NULL","NULL","NULL","true","NULL","1699","1","NULL","false","20"
"6257","9004799","2","2015-07-13T00:00:00.000","2015-07-18T04:00:00.000","2015-07-18T06:15:00.000","NULL","NULL","NULL","true","NULL","1698","1","NULL","false","20"
"7256","9003391","2","2015-07-20T00:00:00.000","2015-07-22T06:30:00.000","2015-07-22T08:00:00.000","NULL","NULL","NULL","true","NULL","1896","1","NULL","false","20"
"6260","9005315","2","2015-07-13T00:00:00.000","2015-07-18T23:00:00.000","2015-07-19T04:00:00.000","NULL","NULL","NULL","true","NULL","1701","1","NULL","false","20"
"6259","9005315","2","2015-07-13T00:00:00.000","2015-07-18T04:00:00.000","2015-07-18T06:15:00.000","NULL","NULL","NULL","true","NULL","1700","1","NULL","false","20"
"6238","9004801","2","2015-07-06T00:00:00.000","2015-07-10T23:00:00.000","2015-07-11T04:00:00.000","NULL","NULL","NULL","true","NULL","1679","1","NULL","false","20"
"6237","9004801","2","2015-07-06T00:00:00.000","2015-07-10T04:00:00.000","2015-07-10T06:30:00.000","NULL","NULL","NULL","true","NULL","1678","1","NULL","false","20"
"7481","9004801","2","2015-07-20T00:00:00.000","2015-07-24T05:15:00.000","2015-07-24T06:15:00.000","NULL","NULL","NULL","true","NULL","2080","1","NULL","false","20"
"7586","9004148","3","2015-07-06T00:00:00.000","2015-07-12T21:00:00.000","2015-07-13T05:00:00.000","NULL","NULL","9","NULL","NULL","2141","1","NULL","NULL","NULL"
"7585","9004148","3","2015-07-06T00:00:00.000","2015-07-11T05:00:00.000","2015-07-11T13:00:00.000","NULL","NULL","9","NULL","NULL","2140","1","NULL","NULL","NULL"
"7584","9004148","3","2015-07-06T00:00:00.000","2015-07-10T13:00:00.000","2015-07-11T05:00:00.000","NULL","NULL","9","NULL","NULL","2139","1","NULL","NULL","NULL"
"7239","9005346","2","2015-07-20T00:00:00.000","2015-07-24T01:00:00.000","2015-07-24T04:00:00.000","NULL","NULL","NULL","true","NULL","1885","1","NULL","false","20"
"7241","9005346","3","2015-07-20T00:00:00.000","2015-07-25T05:00:00.000","2015-07-25T13:00:00.000","NULL","NULL","9","NULL","NULL","1887","1","NULL","NULL","NULL"
