"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version"
"4779","9004658","EBED","DETVEA Subdivision Travaux Neufs Voirie","2015-03-13T14:09:03.518","0"
"4780","9003921","EBEE","DETVEA Subdivision Travaux Eau et Assainissement","2015-03-13T14:09:03.518","0"
"4781","9005497","EBEE","DETVEA Subdivision Travaux Eau et Assainissement","2015-03-13T14:09:03.518","0"
"4782","9005260","EBEE","DETVEA Subdivision Travaux Eau et Assainissement","2015-03-13T14:09:03.518","0"
"4783","9005555","EBEE","DETVEA Subdivision Travaux Eau et Assainissement","2015-03-13T14:09:03.518","0"
"4785","9005615","EBFA","DGUI Division Exploitation Voirie Eau et Assainissement","2015-03-13T14:09:03.518","0"
"4786","9005535","EBFA","DGUI Division Exploitation Voirie Eau et Assainissement","2015-03-13T14:09:03.518","0"
"4787","9004662","EBFB","DEVEA Section Administrative et Comptable","2015-03-13T14:09:03.518","0"
"4788","9004335","EBFB","DEVEA Section Administrative et Comptable","2015-03-13T14:09:03.518","0"
"4789","9004877","EBFB","DEVEA Section Administrative et Comptable","2015-03-13T14:09:03.518","0"
"4790","9005324","EBFB","DEVEA Section Administrative et Comptable","2015-03-13T14:09:03.518","0"
"4791","9005360","EBFB","DEVEA Section Administrative et Comptable","2015-03-13T14:09:03.518","0"
"4792","9005459","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.518","0"
"4793","9004142","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.518","0"
"4794","9002344","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.518","0"
"4795","9004145","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.518","0"
"4796","9004630","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.518","0"
"4797","9004314","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.518","0"
"4798","9005195","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4799","9004732","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4800","9004320","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4801","9003365","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4802","9003713","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4803","9004374","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4804","9003332","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4805","9003362","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4806","9003269","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4807","9003769","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4808","9004292","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4809","9005211","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4810","9004978","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4811","9002333","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4812","9005485","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4813","9003536","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4814","9004029","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4815","9004786","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4816","9004778","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4817","9005600","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4818","9004529","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4819","9005101","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4820","9004750","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4821","9004186","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4822","9004552","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4823","9004481","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4824","9004631","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4825","9002353","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4826","9003044","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4827","9003723","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4828","9004829","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4829","9005436","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4830","9005299","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4831","9004402","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4832","9005082","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4833","9005384","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4834","9004340","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.519","0"
"4835","9004143","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.520","0"
"4836","9003958","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.520","0"
"4837","9005096","EBFC","DEVEA Subdivision Exploitation Voirie","2015-03-13T14:09:03.520","0"
"4838","9005163","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4839","9004287","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4840","9004505","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4841","9004935","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4842","9005504","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4843","9003949","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4844","9005531","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4845","9005451","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4846","9005554","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4847","9005530","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4848","9003968","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4849","9004242","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4850","9004509","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4851","9004687","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
"4852","9005071","EBFD","DEVEA Subdivision Exploitation Eau et Assainissement","2015-03-13T14:09:03.520","0"
